epoch,accuracy,loss,val_accuracy,val_loss
0,0.2749939262866974,3.4587957859039307,0.6867559552192688,1.7479948997497559
1,0.6295913457870483,1.617011547088623,0.7658730149269104,0.9867475628852844
2,0.6937484741210938,1.1776436567306519,0.780009925365448,0.8011291027069092
3,0.7159450054168701,1.0470161437988281,0.7948908805847168,0.7329975366592407
4,0.723911464214325,0.9768971800804138,0.798115074634552,0.6998736262321472
5,0.7391753792762756,0.9076858162879944,0.8020833134651184,0.6805861592292786
6,0.7433106303215027,0.8896260857582092,0.8035714030265808,0.6673486828804016
7,0.7441620230674744,0.8743506669998169,0.8048115372657776,0.6622086763381958
8,0.7517027258872986,0.8504498600959778,0.8015872836112976,0.6564271450042725
9,0.7565069198608398,0.8201716542243958,0.811259925365448,0.6468867063522339
10,0.7554731369018555,0.815325140953064,0.8095238208770752,0.6511769890785217
11,0.7623449563980103,0.7940647006034851,0.8105158805847168,0.6414759159088135
12,0.7602773308753967,0.7959721684455872,0.8144841194152832,0.6395819783210754
13,0.7684869766235352,0.7574093341827393,0.8122519850730896,0.6404606103897095
14,0.7749330997467041,0.7519546151161194,0.8125,0.6393994092941284
15,0.772257387638092,0.7560680508613586,0.8097718358039856,0.6453946828842163
